ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): TEXAS

School Name,State Name [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,County Number [Public School] 2017-18,County Name [Public School] 2017-18,School Type [Public School] 2017-18,School-wide Title I [Public School] 2017-18,Title I Eligible School [Public School] 2017-18,Title I School Status [Public School] 2017-18,State School ID [Public School] 2017-18,State Agency ID [Public School] 2017-18,Virtual School Status (SY 2016-17 onward) [Public School] 2017-18,National School Lunch Program [Public School] 2017-18,Total Students All Grades (Excludes AE) [Public School] 2017-18,Free Lunch Eligible [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2017-18,Grades 1-8 Students [Public School] 2017-18,Grades 9-12 Students [Public School] 2017-18,Prekindergarten Students [Public School] 2017-18,Kindergarten Students [Public School] 2017-18,Grade 1 Students [Public School] 2017-18,Grade 2 Students [Public School] 2017-18,Grade 3 Students [Public School] 2017-18,Grade 4 Students [Public School] 2017-18,Grade 5 Students [Public School] 2017-18,Grade 6 Students [Public School] 2017-18,Grade 7 Students [Public School] 2017-18,Grade 8 Students [Public School] 2017-18,Grade 9 Students [Public School] 2017-18,Grade 10 Students [Public School] 2017-18,Grade 11 Students [Public School] 2017-18,Grade 12 Students [Public School] 2017-18,Male Students [Public School] 2017-18,Female Students [Public School] 2017-18,American Indian/Alaska Native Students [Public School] 2017-18,Asian or Asian/Pacific Islander Students [Public School] 2017-18,Hispanic Students [Public School] 2017-18,Black or African American Students [Public School] 2017-18,White Students [Public School] 2017-18,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2017-18,Two or More Races Students [Public School] 2017-18,Total Race/Ethnicity [Public School] 2017-18,Full-Time Equivalent (FTE) Teachers [Public School] 2017-18
CHRISTIE EL,Texas,482001008148,48085,Collin County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-043905-043905106,TX-043905,NOTVIRTUAL,Yes participating without using any Provision or the CEO,534,257,35,292,456,†,†,78,77,72,96,106,105,†,†,†,†,†,†,†,267,267,5,31,313,47,126,="0",12,534,43.87
CHRISTIE EL,Texas,483510003959,48085,Collin County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-043910-043910112,TX-043910,NOTVIRTUAL,Yes participating without using any Provision or the CEO,737,375,42,417,597,†,26,114,108,101,129,136,123,†,†,†,†,†,†,†,375,362,2,29,358,122,205,="0",21,737,62.25
CHRISTINE CAMACHO EL,TEXAS,482703013077,48491,Williamson County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-246913-246913125,TX-246913,NOTVIRTUAL,Yes participating without using any Provision or the CEO,781,230,70,300,647,†,11,123,152,132,114,120,129,†,†,†,†,†,†,†,377,404,1,13,251,38,439,4,35,781,52.68
CHRISTOVAL EL,Texas,481401000885,48451,Tom Green County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-226901-226901101,TX-226901,NOTVIRTUAL,Yes participating without using any Provision or the CEO,217,68,6,74,173,†,20,24,34,41,29,35,34,†,†,†,†,†,†,†,112,105,3,1,55,="0",155,="0",3,217,18.23
CHRISTOVAL H S,Texas,481401000886,48451,Tom Green County,1-Regular school,†,2-No,6-Not a Title I school,TX-226901-226901001,TX-226901,NOTVIRTUAL,Yes participating without using any Provision or the CEO,298,66,4,70,140,158,†,†,†,†,†,†,†,48,44,48,40,45,37,36,147,151,4,="0",62,="0",221,1,10,298,28.56
CHRISTUS SANTA ROSA,Texas,483873002915,48029,Bexar County,4-Alternative/other school,†,2-No,6-Not a Title I school,TX-015907-015907184,TX-015907,NOTVIRTUAL,No,2,="0",="0",="0",1,1,†,†,†,†,†,†,†,†,†,1,="0",1,†,†,1,1,="0",="0",2,="0",="0",="0",="0",2,1.00
CHURCH HILL MIDDLE,Texas,481473011552,48091,Comal County,1-Regular school,†,2-No,6-Not a Title I school,TX-046902-046902045,TX-046902,NOTVIRTUAL,Yes participating without using any Provision or the CEO,1053,246,74,320,1053,†,†,†,†,†,†,†,†,364,342,347,†,†,†,†,554,499,="0",19,440,14,557,2,21,1053,61.06
CHURCHILL H S,Texas,483294003630,48029,Bexar County,1-Regular school,†,2-No,6-Not a Title I school,TX-015910-015910003,TX-015910,NOTVIRTUAL,Yes participating without using any Provision or the CEO,2932,807,213,1020,†,2932,†,†,†,†,†,†,†,†,†,†,756,695,722,759,1515,1417,14,80,1682,132,948,1,75,2932,170.18
CIBOLO CREEK EL,Texas,481071011291,48259,Kendall County,1-Regular school,†,2-No,6-Not a Title I school,TX-130901-130901105,TX-130901,NOTVIRTUAL,Yes participating without using any Provision or the CEO,821,97,15,112,652,†,44,125,120,120,140,133,139,†,†,†,†,†,†,†,426,395,1,2,207,6,584,="0",21,821,47.99
CIBOLO GREEN,Texas,483294012442,48029,Bexar County,1-Regular school,†,2-No,6-Not a Title I school,TX-015910-015910145,TX-015910,NOTVIRTUAL,Yes participating without using any Provision or the CEO,957,101,47,148,799,†,6,152,134,139,163,167,196,†,†,†,†,†,†,†,512,445,="0",53,388,48,403,1,64,957,55.26
CIBOLO VALLEY EL,Texas,483948012975,48187,Guadalupe County,1-Regular school,†,2-No,6-Not a Title I school,TX-094902-094902115,TX-094902,NOTVIRTUAL,Yes participating without using any Provision or the CEO,929,178,64,242,709,†,71,149,166,203,170,170,†,†,†,†,†,†,†,†,498,431,4,16,407,109,311,3,79,929,59.10
CIELO VISTA EL,Texas,481830001674,48141,El Paso County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-071902-071902151,TX-071902,NOTVIRTUAL,Yes participating without using any Provision or the CEO,401,147,30,177,271,†,56,74,56,47,64,52,52,†,†,†,†,†,†,†,228,173,="0",9,319,6,60,3,4,401,28.82
CIMARRON EL,Texas,482025001980,48201,Harris County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-101910-101910101,TX-101910,NOTVIRTUAL,Yes participating without using any Provision or the CEO,749,588,49,637,578,†,75,96,118,123,114,114,109,†,†,†,†,†,†,†,384,365,2,1,684,9,48,="0",5,749,46.00
CIMARRON EL,Texas,482517005515,48201,Harris County,1-Regular school,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,TX-101914-101914107,TX-101914,NOTVIRTUAL,Yes participating without using any Provision or the CEO,655,234,40,274,500,†,53,102,84,94,96,116,110,†,†,†,†,†,†,†,318,337,1,20,223,67,306,="0",38,655,47.66
CINCO RANCH H S,Texas,482517008271,48157,Fort Bend County,1-Regular school,†,2-No,6-Not a Title I school,TX-101914-101914007,TX-101914,NOTVIRTUAL,Yes participating without using any Provision or the CEO,3144,665,92,757,†,3144,†,†,†,†,†,†,†,†,†,†,783,800,799,762,1571,1573,5,520,781,263,1444,4,127,3144,176.95
CINCO RANCH J H,Texas,482517008626,48157,Fort Bend County,1-Regular school,†,2-No,6-Not a Title I school,TX-101914-101914048,TX-101914,NOTVIRTUAL,Yes participating without using any Provision or the CEO,1259,185,60,245,1259,†,†,†,†,†,†,†,†,396,422,441,†,†,†,†,669,590,2,209,379,99,527,1,42,1259,78.17
CISCO EL,Texas,481407000888,48133,Eastland County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-067902-067902101,TX-067902,NOTVIRTUAL,Yes participating without using any Provision or the CEO,403,215,27,242,309,†,40,54,61,59,64,64,61,†,†,†,†,†,†,†,208,195,3,6,63,10,313,="0",8,403,33.09
CISCO H S,Texas,481407000887,48133,Eastland County,1-Regular school,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,TX-067902-067902001,TX-067902,NOTVIRTUAL,Yes participating without using any Provision or the CEO,244,106,17,123,†,244,†,†,†,†,†,†,†,†,†,†,67,63,60,54,123,121,1,1,42,3,187,="0",10,244,30.96
CISCO J H,Texas,481407005855,48133,Eastland County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-067902-067902041,TX-067902,NOTVIRTUAL,Yes participating without using any Provision or the CEO,204,93,21,114,204,†,†,†,†,†,†,†,†,76,63,65,†,†,†,†,94,110,2,3,45,1,148,="0",5,204,19.35
CISCO LEARNING CENTER,Texas,481407009215,48133,Eastland County,4-Alternative/other school,†,2-No,6-Not a Title I school,TX-067902-067902004,TX-067902,NOTVIRTUAL,Yes participating without using any Provision or the CEO,4,‡,‡,‡,†,4,†,†,†,†,†,†,†,†,†,†,†,†,3,1,1,3,="0",="0",="0",="0",4,="0",="0",4,1.73
CISNEROS PRE-K CTR,Texas,482034010590,48113,Dallas County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-057909-057909180,TX-057909,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),566,430,12,442,†,†,566,†,†,†,†,†,†,†,†,†,†,†,†,†,291,275,2,6,509,31,13,="0",5,566,15.19
CITY VIEW EL,Texas,481413000891,48485,Wichita County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-243906-243906101,TX-243906,NOTVIRTUAL,Yes participating without using any Provision or the CEO,605,370,51,421,472,†,53,80,75,92,87,84,77,57,†,†,†,†,†,†,326,279,5,6,194,53,300,="0",47,605,39.53
CITY VIEW EL,Texas,481281012109,48381,Randall County,1-Regular school,†,2-No,6-Not a Title I school,TX-191901-191901112,TX-191901,NOTVIRTUAL,Yes participating without using any Provision or the CEO,533,102,37,139,435,†,3,95,123,96,104,112,†,†,†,†,†,†,†,†,279,254,="0",20,173,24,299,="0",17,533,31.00
CITY VIEW JUNIOR/SENIOR HIGH,Texas,481413008954,48485,Wichita County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-243906-243906001,TX-243906,NOTVIRTUAL,Yes participating without using any Provision or the CEO,453,215,34,249,166,287,†,†,†,†,†,†,†,†,78,88,80,81,67,59,233,220,6,6,120,46,248,="0",27,453,45.19
CITYLAB H S,TEXAS,481623013553,48113,Dallas County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-057905-057905383,TX-057905,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),80,52,1,53,†,80,†,†,†,†,†,†,†,†,†,†,80,†,†,†,51,29,="0",1,52,17,10,="0",="0",80,6.29
CJ & ANNE HYMAN EL,Texas,481764009197,48113,Dallas County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-057907-057907111,TX-057907,NOTVIRTUAL,Yes participating without using any Provision or the CEO,488,262,63,325,383,†,37,68,100,85,87,111,†,†,†,†,†,†,†,†,243,245,1,19,222,213,17,="0",16,488,35.00
CLACK MIDDLE,Texas,480744002231,48441,Taylor County,1-Regular school,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,TX-221901-221901047,TX-221901,NOTVIRTUAL,Yes participating without using any Provision or the CEO,845,568,94,662,845,†,†,†,†,†,†,†,†,305,283,257,†,†,†,†,465,380,2,33,331,140,296,1,42,845,57.00
CLARA LOVE EL,Texas,483318012293,48121,Denton County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-061911-061911117,TX-061911,NOTVIRTUAL,Yes participating without using any Provision or the CEO,614,164,53,217,486,†,35,93,83,90,105,101,107,†,†,†,†,†,†,†,323,291,6,12,165,77,340,3,11,614,41.67
CLARA OLIVER EL,Texas,481623001235,48113,Dallas County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-057905-057905189,TX-057905,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),311,289,="0",289,233,†,35,43,45,46,42,46,54,†,†,†,†,†,†,†,181,130,2,="0",115,187,6,="0",1,311,21.50
CLARDY EL,Texas,481830001675,48141,El Paso County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-071902-071902109,TX-071902,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),489,444,2,446,349,†,68,72,89,53,67,72,68,†,†,†,†,†,†,†,265,224,="0",="0",485,1,3,="0",="0",489,34.04
CLARENDON EL,Texas,481416000892,48129,Donley County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-065901-065901101,TX-065901,NOTVIRTUAL,Yes participating without using any Provision or the CEO,239,106,28,134,171,†,35,33,29,32,38,30,42,†,†,†,†,†,†,†,119,120,="0",="0",28,20,181,="0",10,239,18.27
CLARENDON H S,Texas,481416000893,48129,Donley County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-065901-065901001,TX-065901,NOTVIRTUAL,Yes participating without using any Provision or the CEO,126,43,12,55,†,126,†,†,†,†,†,†,†,†,†,†,31,27,36,32,69,57,="0",="0",15,13,94,1,3,126,16.19
CLARENDON J H,TEXAS,481416016942,48129,Donley County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-065901-065901041,TX-065901,NOTVIRTUAL,Yes participating without using any Provision or the CEO,108,40,17,57,108,†,†,†,†,†,†,†,†,40,32,36,†,†,†,†,50,58,="0",="0",16,10,78,1,3,108,9.63
CLARK EL,Texas,482115011562,48071,Chambers County,1-Regular school,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,TX-101911-101911123,TX-101911,NOTVIRTUAL,Yes participating without using any Provision or the CEO,675,347,22,369,541,†,46,88,109,111,105,112,104,†,†,†,†,†,†,†,354,321,4,17,278,88,269,="0",19,675,44.00
CLARK EL,Texas,484365004958,48479,Webb County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-240903-240903105,TX-240903,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),443,398,="0",398,368,†,7,68,84,84,60,71,69,†,†,†,†,†,†,†,217,226,="0",1,441,="0",1,="0",="0",443,29.08
CLARK EL,Texas,482178002197,48409,San Patricio County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-205902-205902102,TX-205902,NOTVIRTUAL,Yes participating without using any Provision or the CEO,685,437,28,465,515,†,71,99,100,103,106,99,107,†,†,†,†,†,†,†,361,324,2,6,396,3,265,2,11,685,42.25
CLARK H S,Texas,483312003722,48029,Bexar County,1-Regular school,†,2-No,6-Not a Title I school,TX-015915-015915005,TX-015915,NOTVIRTUAL,Yes participating without using any Provision or the CEO,2744,661,110,771,†,2744,†,†,†,†,†,†,†,†,†,†,728,699,674,643,1398,1346,1,141,1549,194,781,6,72,2744,165.28
CLARK H S,Texas,483510005571,48085,Collin County,1-Regular school,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,TX-043910-043910005,TX-043910,NOTVIRTUAL,Yes participating without using any Provision or the CEO,1453,337,77,414,†,1453,†,†,†,†,†,†,†,†,†,†,742,711,†,†,773,680,7,274,310,206,590,1,65,1453,95.72
CLARK INT,Texas,484122009663,48201,Harris County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-101919-101919116,TX-101919,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),768,499,31,530,768,†,†,†,1,182,209,183,193,†,†,†,†,†,†,†,427,341,12,12,241,469,22,4,8,768,48.00
CLARK INT,TEXAS,481500013349,48339,Montgomery County,1-Regular school,†,†,†,TX-170902-170902080,TX-170902,NOTVIRTUAL,Yes participating without using any Provision or the CEO,="0",–,–,–,="0",†,†,†,†,†,†,†,="0",="0",†,†,†,†,†,†,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0.00"
CLARK MIDDLE,Texas,482001008729,48085,Collin County,1-Regular school,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,TX-043905-043905043,TX-043905,NOTVIRTUAL,Yes participating without using any Provision or the CEO,791,105,27,132,791,†,†,†,†,†,†,†,†,251,270,270,†,†,†,†,397,394,1,137,144,100,381,="0",28,791,59.15
CLARK MIDDLE,Texas,483585004060,48085,Collin County,1-Regular school,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,TX-043911-043911041,TX-043911,NOTVIRTUAL,Yes participating without using any Provision or the CEO,620,303,44,347,620,†,†,†,†,†,†,†,†,†,286,334,†,†,†,†,322,298,4,5,303,60,230,="0",18,620,40.81
CLARK MIDDLE,Texas,484365007147,48479,Webb County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-240903-240903046,TX-240903,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),731,603,="0",603,731,†,†,†,†,†,†,†,†,230,244,257,†,†,†,†,385,346,="0",1,726,="0",3,1,="0",731,48.01
CLARK PRI,TEXAS,484122013252,48201,Harris County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-101919-101919129,TX-101919,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),537,350,22,372,193,†,145,199,193,†,†,†,†,†,†,†,†,†,†,†,300,237,7,12,143,358,12,2,3,537,37.14
CLARKE EL,Texas,482566002863,48099,Coryell County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-014906-014906116,TX-014906,NOTVIRTUAL,Yes participating without using any Provision or the CEO,592,223,108,331,289,†,205,98,112,105,72,†,†,†,†,†,†,†,†,†,295,297,2,12,145,131,239,18,45,592,36.60
CLARKSTON EL,Texas,484347004931,48423,Smith County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-212905-212905106,TX-212905,NOTVIRTUAL,Yes participating without using any Provision or the CEO,355,217,22,239,276,†,32,47,73,39,60,46,58,†,†,†,†,†,†,†,169,186,1,7,105,112,114,="0",16,355,24.87
CLARKSVILLE MIDDLE AND H S,Texas,481419000896,48387,Red River County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-194904-194904002,TX-194904,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),250,201,="0",201,107,143,†,†,†,†,†,†,†,40,31,36,35,38,32,38,131,119,1,="0",59,134,52,="0",4,250,23.22
CLASSICAL CENTER AT BRANDENBURG MIDDLE,Texas,482034002011,48113,Dallas County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-057909-057909047,TX-057909,NOTVIRTUAL,Yes participating without using any Provision or the CEO,1110,504,125,629,1110,†,†,†,†,†,†,†,†,377,365,368,†,†,†,†,493,617,2,53,498,256,261,3,37,1110,64.74
CLASSICAL CENTER AT VIAL EL,Texas,482034002047,48113,Dallas County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-057909-057909129,TX-057909,NOTVIRTUAL,Yes participating without using any Provision or the CEO,553,223,67,290,474,†,2,77,81,84,102,101,106,†,†,†,†,†,†,†,264,289,10,42,235,124,119,="0",23,553,35.00
CLAUDE BERKMAN EL,Texas,483808004248,48491,Williamson County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-246909-246909101,TX-246909,NOTVIRTUAL,Yes participating without using any Provision or the CEO,476,334,54,388,332,†,68,76,72,67,54,72,67,†,†,†,†,†,†,†,213,263,="0",1,335,66,67,1,6,476,45.48
CLAUDE EL,Texas,481425000049,48011,Armstrong County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-006902-006902101,TX-006902,NOTVIRTUAL,Yes participating without using any Provision or the CEO,212,77,20,97,161,†,25,26,30,27,26,27,27,24,†,†,†,†,†,†,108,104,3,1,24,1,174,="0",9,212,15.86
CLAUDE SCHOOLS,Texas,481425000900,48011,Armstrong County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-006902-006902001,TX-006902,NOTVIRTUAL,Yes participating without using any Provision or the CEO,160,48,14,62,58,102,†,†,†,†,†,†,†,†,32,26,26,26,26,24,80,80,2,="0",17,4,134,="0",3,160,18.89
CLAY CLASSICAL ACADEMY,Texas,480016312538,48113,Dallas County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-221801-221801039,TX-221801,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),306,241,="0",241,286,†,†,20,15,28,38,45,35,44,49,32,†,†,†,†,131,175,="0",="0",174,117,6,="0",9,306,23.00
CLAYBON EL,Texas,481956008684,48257,Kaufman County,1-Regular school,†,2-No,6-Not a Title I school,TX-129902-129902103,TX-129902,NOTVIRTUAL,Yes participating without using any Provision or the CEO,651,112,37,149,534,†,10,107,99,103,78,87,75,92,†,†,†,†,†,†,339,312,5,3,189,51,385,="0",18,651,39.28
CLAYTON DOWNING MIDDLE,Texas,482730009208,48121,Denton County,1-Regular school,†,2-No,6-Not a Title I school,TX-061902-061902055,TX-061902,NOTVIRTUAL,Yes participating without using any Provision or the CEO,546,25,7,32,546,†,†,†,†,†,†,†,†,152,196,198,†,†,†,†,291,255,2,37,54,15,417,1,20,546,39.64
CLAYTON EL,Texas,480894011061,48453,Travis County,1-Regular school,†,2-No,6-Not a Title I school,TX-227901-227901184,TX-227901,NOTVIRTUAL,Yes participating without using any Provision or the CEO,838,7,5,12,710,†,4,124,142,132,147,134,155,†,†,†,†,†,†,†,408,430,="0",133,100,4,551,4,46,838,54.22
CLEAR BROOK H S,Texas,481428006523,48201,Harris County,1-Regular school,†,2-No,6-Not a Title I school,TX-084910-084910003,TX-084910,NOTVIRTUAL,No,2200,557,="0",557,†,2200,†,†,†,†,†,†,†,†,†,†,544,578,541,537,1150,1050,4,404,753,238,710,4,87,2200,138.46
CLEAR CREEK EL,Texas,482566021004,48027,Bell County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-014906-014906123,TX-014906,NOTVIRTUAL,Yes participating without using any Provision or the CEO,721,412,146,558,425,†,190,106,116,80,76,78,75,†,†,†,†,†,†,†,354,367,7,14,191,188,242,27,52,721,48.75
CLEAR CREEK H S,Texas,481428000903,48167,Galveston County,1-Regular school,†,2-No,6-Not a Title I school,TX-084910-084910001,TX-084910,NOTVIRTUAL,No,2354,539,1,540,†,2354,†,†,†,†,†,†,†,†,†,†,681,628,572,473,1223,1131,2,120,724,263,1144,7,94,2354,150.53
CLEAR CREEK INT,Texas,481428012359,48167,Galveston County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-084910-084910051,TX-084910,NOTVIRTUAL,No,805,326,1,327,805,†,†,†,†,†,†,†,†,259,255,291,†,†,†,†,408,397,7,19,314,122,313,="0",30,805,51.74
CLEAR CREEK INT,Texas,483918004467,48121,Denton County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-061908-061908101,TX-061908,NOTVIRTUAL,Yes participating without using any Provision or the CEO,386,145,32,177,386,†,†,†,†,†,106,158,122,†,†,†,†,†,†,†,199,187,1,2,111,10,250,="0",12,386,25.67
CLEAR FALLS H S,Texas,481428012296,48167,Galveston County,1-Regular school,†,2-No,6-Not a Title I school,TX-084910-084910011,TX-084910,NOTVIRTUAL,No,2671,393,2,395,†,2671,†,†,†,†,†,†,†,†,†,†,758,659,693,561,1361,1310,12,116,640,145,1650,2,106,2671,140.25
CLEAR FORK EL,Texas,482787003127,48055,Caldwell County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-028902-028902101,TX-028902,NOTVIRTUAL,Yes participating without using any Provision or the CEO,475,264,42,306,407,†,†,68,65,82,78,86,96,†,†,†,†,†,†,†,254,221,3,2,305,11,144,="0",10,475,29.39
CLEAR HORIZONS EARLY COLLEGE H S,Texas,481428011416,48201,Harris County,1-Regular school,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,TX-084910-084910010,TX-084910,NOTVIRTUAL,No,442,150,="0",150,†,442,†,†,†,†,†,†,†,†,†,†,125,120,99,98,177,265,1,132,112,25,147,1,24,442,15.95
CLEAR LAKE CITY EL,Texas,481428000904,48201,Harris County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-084910-084910101,TX-084910,NOTVIRTUAL,Yes participating without using any Provision or the CEO,589,241,36,277,449,†,60,80,87,101,84,90,87,†,†,†,†,†,†,†,300,289,1,31,205,54,250,1,47,589,36.80
CLEAR LAKE H S,Texas,481428000906,48201,Harris County,1-Regular school,†,2-No,6-Not a Title I school,TX-084910-084910002,TX-084910,NOTVIRTUAL,No,2332,444,1,445,†,2332,†,†,†,†,†,†,†,†,†,†,645,581,578,528,1206,1126,4,353,677,172,1019,9,98,2332,136.71
CLEAR LAKE INT,Texas,481428000905,48201,Harris County,1-Regular school,†,2-No,6-Not a Title I school,TX-084910-084910043,TX-084910,NOTVIRTUAL,No,926,293,1,294,926,="0",†,†,†,†,†,†,†,289,320,317,="0",†,†,†,482,444,3,88,331,93,361,4,46,926,58.91
CLEAR PATH ALTERNATIVE SCHOOL,Texas,481428009498,48167,Galveston County,4-Alternative/other school,†,2-No,6-Not a Title I school,TX-084910-084910008,TX-084910,NOTVIRTUAL,No,85,34,1,35,19,66,†,†,†,†,†,†,†,2,3,14,18,17,17,14,60,25,1,2,32,9,36,="0",5,85,15.00
CLEAR SPRING EL,Texas,483294003631,48029,Bexar County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-015910-015910119,TX-015910,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),406,356,="0",356,354,†,†,52,66,62,78,66,82,†,†,†,†,†,†,†,208,198,="0",3,281,44,55,1,22,406,31.51
CLEAR SPRING EL,Texas,481473011919,48187,Guadalupe County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-046902-046902119,TX-046902,NOTVIRTUAL,Yes participating without using any Provision or the CEO,759,317,75,392,591,†,62,106,110,127,120,129,105,†,†,†,†,†,†,†,388,371,="0",5,429,17,293,3,12,759,46.83
CLEAR SPRINGS H S,Texas,481428011984,48167,Galveston County,1-Regular school,†,2-No,6-Not a Title I school,TX-084910-084910009,TX-084910,NOTVIRTUAL,No,2721,417,1,418,†,2721,†,†,†,†,†,†,†,†,†,†,771,689,634,627,1393,1328,6,237,750,232,1378,7,111,2721,154.32
CLEAR VIEW H S,Texas,481428006666,48201,Harris County,1-Regular school,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,TX-084910-084910004,TX-084910,NOTVIRTUAL,No,216,52,="0",52,†,216,†,†,†,†,†,†,†,†,†,†,39,57,71,49,114,102,1,4,54,12,133,1,11,216,28.64
CLEARFORK EL,Texas,480828005844,48003,Andrews County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-002901-002901105,TX-002901,NOTVIRTUAL,Yes participating without using any Provision or the CEO,785,342,44,386,303,†,154,328,303,†,†,†,†,†,†,†,†,†,†,†,397,388,3,4,541,6,224,="0",7,785,44.25
CLEBURNE H S,Texas,481431000917,48251,Johnson County,1-Regular school,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,TX-126903-126903001,TX-126903,NOTVIRTUAL,Yes participating without using any Provision or the CEO,1767,878,131,1009,†,1767,†,†,†,†,†,†,†,†,†,†,562,474,372,359,925,842,14,7,764,71,847,27,37,1767,115.43
CLECKLER/HEALD EL,Texas,484496007003,48215,Hidalgo County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-108913-108913114,TX-108913,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),884,710,="0",710,689,†,79,116,137,146,129,144,133,†,†,†,†,†,†,†,454,430,="0",="0",867,1,15,="0",1,884,50.86
CLEMENTS H S,Texas,481965005870,48157,Fort Bend County,1-Regular school,†,2-No,6-Not a Title I school,TX-079907-079907004,TX-079907,NOTVIRTUAL,Yes participating without using any Provision or the CEO,2551,182,59,241,†,2551,†,†,†,†,†,†,†,†,†,†,642,669,638,602,1316,1235,14,1380,300,153,622,1,81,2551,132.40
CLENDENIN EL,Texas,481830005984,48141,El Paso County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-071902-071902149,TX-071902,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),453,420,1,421,359,†,36,58,63,77,77,69,73,†,†,†,†,†,†,†,226,227,="0",2,418,14,15,="0",4,453,31.91
